"season"|"team"|"player"|"dob"|"age"|"nationality"|"current.club"|"height.cm"|"foot"|"joined"|"contract.start"|"contract.end"|"curr.market.value.EUR"|"prev.market.value.EUR"
"2013"|"Chennaiyin FC"|"Shilton Paul"|1988-06-10|"25"|"India"|"Mohun Bagan AC"|"174"|NA|NA|NA|NA|NA|NA
"2013"|"Chennaiyin FC"|"Abhijit Mondal"|1978-02-01|"35"|"India"|"Retired"|"176"|NA|NA|NA|NA|NA|NA
"2013"|"Chennaiyin FC"|"Khelemba Singh"|1985-04-13|"28"|"India"|"Shillong Lajong FC"|"185"|NA|NA|NA|NA|NA|NA
"2013"|"Chennaiyin FC"|"Alessandro Nesta"|1976-03-19|"37"|"Italy"|"Retired"|"187"|"right"|NA|NA|NA|"1.00M"|"4.50M"
"2013"|"Chennaiyin FC"|"Mikaël Silvestre"|1977-08-09|"35"|"France"|"Retired"|NA|NA|NA|NA|NA|"250K"|"500K"
"2013"|"Chennaiyin FC"|"Gouramangi Singh"|1986-01-25|"27"|"India"|"NEROCA FC"|"186"|"right"|NA|NA|NA|"100K"|NA
"2013"|"Chennaiyin FC"|"Marco Materazzi"|1973-08-19|"39"|"Italy"|"Retired"|"193"|"left"|NA|NA|NA|NA|NA
"2013"|"Chennaiyin FC"|"Dhanachandra Singh"|1987-03-04|"26"|"India"|"Jamshedpur FC"|"180"|NA|NA|NA|NA|NA|NA
"2013"|"Chennaiyin FC"|"Bernard Mendy"|1981-08-20|"31"|"France"|"Retired"|"180"|"right"|NA|NA|NA|"900K"|"1.00M"
"2013"|"Chennaiyin FC"|"Jairo Suárez"|1985-03-24|"28"|"Colombia"|"Retired"|"178"|"right"|NA|NA|NA|"400K"|"400K"
"2013"|"Chennaiyin FC"|"Harmanjot Khabra"|1988-03-18|"25"|"India"|"Bengaluru FC"|"181"|"right"|NA|NA|NA|NA|NA
"2013"|"Chennaiyin FC"|"Abhishek Das"|1993-11-15|"19"|"India"|"Mohun Bagan AC"|"170"|NA|NA|NA|NA|NA|NA
"2013"|"Chennaiyin FC"|"Anthony Barbosa"|1989-07-13|"23"|"India"|"Churchill Brothers SC"|"175"|NA|NA|NA|NA|NA|NA
"2013"|"Chennaiyin FC"|"Dane Pereira"|1985-10-13|"27"|"India"|"Disqualification"|"185"|NA|NA|NA|NA|NA|NA
"2013"|"Chennaiyin FC"|"Jaison Vales"|1988-09-04|"24"|"India"|"Salgaocar SC Goa"|NA|NA|NA|NA|NA|NA|NA
"2013"|"Chennaiyin FC"|"Sukhwinder Singh"|1983-03-12|"30"|"India"|"Unknown"|"155"|NA|NA|NA|NA|NA|NA
"2013"|"Chennaiyin FC"|"Eric Djemba Djemba"|1981-05-04|"32"|"Cameroon"|"FC Vallorbe-Ballaigues"|"177"|"right"|NA|NA|NA|"1.00M"|"1.75M"
"2013"|"Chennaiyin FC"|"Pappachen Pradeep"|1983-04-28|"30"|"India"|"Mumbai FC"|"175"|"both"|NA|NA|NA|"100K"|"75K"
"2013"|"Chennaiyin FC"|"Pierre Tillman"|1987-03-02|"26"|"Sweden"|"Varbergs GIF"|"181"|NA|NA|NA|NA|"100K"|"50K"
"2013"|"Chennaiyin FC"|"Elano"|1981-06-14|"32"|"Brazil"|"Retired"|"174"|"right"|NA|NA|NA|"1.50M"|"2.00M"
"2013"|"Chennaiyin FC"|"Bruno Pelissari"|1993-01-03|"20"|"Brazil"|"Clube Atlético Votuporanguense"|"181"|"right"|NA|NA|NA|NA|NA
"2013"|"Chennaiyin FC"|"Denson Devadas"|1982-12-20|"30"|"India"|"Chennai City FC"|"178"|NA|NA|NA|NA|NA|NA
"2013"|"Chennaiyin FC"|"Cristian Hidalgo"|1983-09-21|"29"|"Spain"|"FC Ordino"|"171"|"right"|NA|NA|NA|"600K"|"1.00M"
"2013"|"Chennaiyin FC"|"Bojan Djordjic"|1982-02-06|"31"|"Sweden"|"Retired"|"183"|"left"|NA|NA|NA|"300K"|"400K"
"2013"|"Chennaiyin FC"|"Stiven Mendoza"|1992-06-27|"21"|"Colombia"|"SC Amiens"|"172"|NA|NA|NA|NA|"150K"|NA
"2013"|"Chennaiyin FC"|"Jean-Eudes Maurice"|1986-06-21|"27"|"Haiti"|"FK Aktobe"|"180"|"right"|NA|NA|NA|"300K"|"400K"
"2013"|"Chennaiyin FC"|"Jeje Lalpekhlua"|1991-01-07|"22"|"India"|"Chennaiyin FC"|"176"|NA|NA|NA|NA|"125K"|NA
"2013"|"Chennaiyin FC"|"Eduardo Silva"|1990-04-11|"23"|"Spain"|"SD Tarazona"|"180"|NA|NA|NA|NA|NA|NA
"2013"|"Chennaiyin FC"|"Balwant Singh"|1986-12-15|"26"|"India"|"Amar Tomar Kolkata"|"180"|NA|NA|NA|NA|NA|NA
"2013"|"Chennaiyin FC"|"Jayesh Rane"|1993-02-20|"20"|"India"|"Amar Tomar Kolkata"|"175"|NA|NA|NA|NA|NA|NA
"2013"|"Delhi Dynamos FC"|"Kristof Van Hout"|1987-02-09|"26"|"Belgium"|"KVC Westerlo"|"207"|NA|NA|NA|NA|"1.20M"|"1.30M"
"2013"|"Delhi Dynamos FC"|"Marek Cech"|1976-04-08|"37"|"Czech Republic"|"Retired"|"188"|NA|NA|NA|NA|"200K"|"200K"
"2013"|"Delhi Dynamos FC"|"Jagroop Singh"|1991-05-16|"22"|"India"|"Air India FC"|"179"|NA|NA|NA|NA|NA|NA
"2013"|"Delhi Dynamos FC"|"Munmun Lugun"|1993-05-05|"20"|"India"|"Without Club"|"176"|NA|NA|NA|NA|NA|NA
"2013"|"Delhi Dynamos FC"|"Wim Raymaekers"|1985-04-04|"28"|"Belgium"|"KVV Zonhoven"|"186"|"left"|NA|NA|NA|"500K"|"700K"
"2013"|"Delhi Dynamos FC"|"Anwar Ali"|1984-08-24|"28"|"India"|"Mumbai City FC"|"189"|"right"|NA|NA|NA|"50K"|NA
"2013"|"Delhi Dynamos FC"|"Govin Singh"|1988-01-03|"25"|"India"|"Aizawl Football Club"|"183"|"right"|NA|NA|NA|"25K"|NA
"2013"|"Delhi Dynamos FC"|"Stijn Houben"|1995-04-05|"18"|"Netherlands"|"VOC Rotterdam"|"186"|"right"|NA|NA|NA|NA|NA
"2013"|"Delhi Dynamos FC"|"Robert Lalthlamuana"|1988-09-04|"24"|"India"|"NorthEast United FC"|"171"|"left"|NA|NA|NA|"25K"|NA
"2013"|"Delhi Dynamos FC"|"Shouvik Ghosh"|1992-11-05|"20"|"India"|"Mumbai City FC"|"181"|"left"|NA|NA|NA|NA|NA
"2013"|"Delhi Dynamos FC"|"Naoba Singh"|1988-03-06|"25"|"India"|"NEROCA FC"|NA|NA|NA|NA|NA|NA|NA
"2013"|"Delhi Dynamos FC"|"Adil Khan"|1988-07-07|"24"|"India"|"FC Pune City"|"177"|NA|NA|NA|NA|NA|NA
"2013"|"Delhi Dynamos FC"|"Manish Bhargav"|1994-02-22|"19"|"India"|"Bhawanipore FC"|"168"|NA|NA|NA|NA|NA|NA
"2013"|"Delhi Dynamos FC"|"Pavel Elias"|1986-11-26|"26"|"Czech Republic"|"USV Oed/Zeillern"|"186"|"right"|NA|NA|NA|"700K"|"500K"
"2013"|"Delhi Dynamos FC"|"Dinis"|1990-01-21|"23"|"Portugal"|"GDU Torcatense"|"183"|"right"|NA|NA|NA|"200K"|"200K"
"2013"|"Delhi Dynamos FC"|"Bruno Herrero"|1985-02-13|"28"|"Spain"|"San Fernando CD"|"175"|"right"|NA|NA|NA|"700K"|"1.00M"
"2013"|"Delhi Dynamos FC"|"Hans Mulder"|1987-04-27|"26"|"Netherlands"|"RKC Waalwijk"|"180"|"right"|NA|NA|NA|"400K"|"500K"
"2013"|"Delhi Dynamos FC"|"Souvik Chakrabarti"|1991-07-12|"21"|"India"|"Mumbai City FC"|"174"|"both"|NA|NA|NA|NA|NA
"2013"|"Delhi Dynamos FC"|"Steven Dias"|1983-12-25|"29"|"India"|"Mumbai FC"|"170"|"right"|NA|NA|NA|"100K"|NA
"2013"|"Delhi Dynamos FC"|"Francis Fernandes"|1985-11-25|"27"|"India"|"Chennaiyin FC"|"170"|NA|NA|NA|NA|NA|NA
"2013"|"Delhi Dynamos FC"|"Shylo Malsawmtluanga"|1984-10-24|"28"|"India"|"Aizawl Football Club"|"169"|NA|NA|NA|NA|NA|NA
"2013"|"Delhi Dynamos FC"|"Gustavo Marmentini"|1994-03-08|"19"|"Brazil"|"Alashkert Yerevan"|"179"|"left"|NA|NA|NA|NA|NA
"2013"|"Delhi Dynamos FC"|"Alessandro Del Piero"|1974-11-09|"38"|"Italy"|"Retired"|"173"|"both"|NA|NA|NA|"1.00M"|"3.00M"
"2013"|"Delhi Dynamos FC"|"Mads Junker"|1981-04-21|"32"|"Denmark"|"Retired"|"186"|"right"|NA|NA|NA|"700K"|"1.00M"
"2013"|"Delhi Dynamos FC"|"Morten Skoubo"|1980-06-30|"33"|"Denmark"|"Retired"|NA|NA|NA|NA|NA|"300K"|"400K"
"2013"|"Delhi Dynamos FC"|"Manandeep Singh"|1992-11-03|"20"|"India"|"Mohun Bagan AC"|"180"|"both"|NA|NA|NA|NA|NA
"2013"|"FC Goa"|"Jan Seda"|1985-12-17|"27"|"Czech Republic"|"FK Mladá Boleslav"|"190"|NA|NA|NA|NA|"300K"|"200K"
"2013"|"FC Goa"|"Laxmikant Kattimani"|1989-05-03|"24"|"India"|"FC Goa"|"183"|NA|NA|NA|NA|NA|NA
"2013"|"FC Goa"|"Gurpreet Chabal"|1993-02-01|"20"|"India"|"Unknown"|"185"|NA|NA|NA|NA|NA|NA
"2013"|"FC Goa"|"Grégory Arnolin"|1980-11-10|"32"|"Martinique"|"Retired"|"187"|"right"|NA|NA|NA|"800K"|"1.20M"
"2013"|"FC Goa"|"Younes Bengelloun"|1983-01-03|"30"|"France"|"Without Club"|"183"|"right"|NA|NA|NA|"450K"|"400K"
"2013"|"FC Goa"|"Rowilson Rodrigues"|1987-03-26|"26"|"India"|"Without Club"|"181"|NA|NA|NA|NA|"25K"|NA
"2013"|"FC Goa"|"Zohib Islam Amiri"|1990-02-15|"23"|"Afghanistan"|"New Radiant Sports Club"|"177"|"left"|NA|NA|NA|NA|NA
"2013"|"FC Goa"|"Narayan Das"|1993-09-25|"19"|"India"|"Delhi Dynamos FC"|"175"|NA|NA|NA|NA|NA|NA
"2013"|"FC Goa"|"Debabrata Roy"|1986-11-04|"26"|"India"|"Mohun Bagan AC"|"173"|"right"|NA|NA|NA|"50K"|NA
"2013"|"FC Goa"|"Prabir Das"|1993-12-20|"19"|"India"|"Amar Tomar Kolkata"|"172"|"right"|NA|NA|NA|NA|NA
"2013"|"FC Goa"|"Bruno Pinheiro"|1987-08-21|"25"|"Portugal"|"FC Goa"|"185"|"right"|NA|NA|NA|"500K"|"400K"
"2013"|"FC Goa"|"Peter Carvalho"|1981-12-18|"31"|"India"|"Unknown"|"177"|NA|NA|NA|NA|NA|NA
"2013"|"FC Goa"|"Bikramjit Singh"|1992-10-15|"20"|"India"|"Delhi Dynamos FC"|"171"|NA|NA|NA|NA|NA|NA
"2013"|"FC Goa"|"Pronay Halder"|1993-02-25|"20"|"India"|"Amar Tomar Kolkata"|"177"|"right"|NA|NA|NA|NA|NA
"2013"|"FC Goa"|"Jewel Raja"|1990-01-19|"23"|"India"|"Mohammedan Sporting Club"|"172"|NA|NA|NA|NA|"50K"|NA
"2013"|"FC Goa"|"Robert Pirès"|1973-10-29|"39"|"France"|"Retired"|"187"|"right"|NA|NA|NA|NA|NA
"2013"|"FC Goa"|"Mandar Rao Desai"|1992-03-18|"21"|"India"|"FC Goa"|"171"|NA|NA|NA|NA|NA|NA
"2013"|"FC Goa"|"André Santos"|1983-03-08|"30"|"Brazil"|"Figueirense Futebol Clube"|"180"|"left"|NA|NA|NA|"2.50M"|"3.00M"
"2013"|"FC Goa"|"Edgar Marcelino"|1984-09-10|"28"|"Portugal"|"Amora FC"|"170"|"right"|NA|NA|NA|"100K"|"100K"
"2013"|"FC Goa"|"Clifford Miranda"|1982-07-11|"30"|"India"|"Retired"|"172"|"left"|NA|NA|NA|"50K"|NA
"2013"|"FC Goa"|"Alwyn George"|1992-03-01|"21"|"India"|"FC Pune City"|"173"|NA|NA|NA|NA|NA|NA
"2013"|"FC Goa"|"Tolgay Özbey"|1986-04-12|"27"|"Australia"|"Rockdale City Suns"|"177"|NA|NA|NA|NA|NA|NA
"2013"|"FC Goa"|"Holicharan Narzary"|1994-05-10|"19"|"India"|"Kerala Blasters FC"|"174"|NA|NA|NA|NA|NA|NA
"2013"|"FC Goa"|"Gabriel Fernandes"|1988-04-22|"25"|"India"|"FC Pune City"|"167"|NA|NA|NA|NA|NA|NA
"2013"|"FC Goa"|"Miguel Herlein"|1993-02-11|"20"|"Portugal"|"Without Club"|"181"|"both"|NA|NA|NA|NA|NA
"2013"|"FC Goa"|"Romeo Fernandes"|1992-07-06|"20"|"India"|"Delhi Dynamos FC"|"168"|NA|NA|NA|NA|NA|NA
"2013"|"FC Goa"|"Miroslav Slepicka"|1981-11-10|"31"|"Czech Republic"|"1.FK Pribram"|"182"|"right"|NA|NA|NA|"400K"|"750K"
"2013"|"FC Goa"|"Ranti Martins"|1986-09-05|"26"|"Nigeria"|"Maryland SGFC Eagles"|"181"|NA|NA|NA|NA|NA|NA
"2013"|"FC Pune City"|"Emanuele Belardi"|1977-10-09|"35"|"Italy"|"Retired"|"187"|"right"|NA|NA|NA|"100K"|"150K"
"2013"|"FC Pune City"|"Arindam Bhattacharya"|1989-05-20|"24"|"India"|"Amar Tomar Kolkata"|"189"|NA|NA|NA|NA|"25K"|NA
"2013"|"FC Pune City"|"Lalit Thapa"|1984-08-12|"28"|"India"|"NEROCA FC"|"179"|NA|NA|NA|NA|NA|NA
"2013"|"FC Pune City"|"Anupam Sarkar"|1985-04-26|"28"|"India"|"Mohammedan Sporting Club"|"181"|NA|NA|NA|NA|NA|NA
"2013"|"FC Pune City"|"Deepak Devrani"|1992-12-10|"20"|"India"|"Minerva Punjab FC"|"180"|NA|NA|NA|NA|NA|NA
"2013"|"FC Pune City"|"Andrés González"|1984-01-08|"29"|"Colombia"|"Retired"|"188"|"right"|NA|NA|NA|"750K"|"800K"
"2013"|"FC Pune City"|"Bruno Cirillo"|1977-03-21|"36"|"Italy"|"Retired"|"187"|"right"|NA|NA|NA|"100K"|"500K"
"2013"|"FC Pune City"|"Daniele Magliocchetti"|1986-05-11|"27"|"Italy"|"Without Club"|"183"|"left"|NA|NA|NA|"75K"|"75K"
"2013"|"FC Pune City"|"Saidou Panandetiguiri"|1984-03-22|"29"|"Burkina Faso"|"Without Club"|NA|NA|NA|NA|NA|"150K"|"75K"
"2013"|"FC Pune City"|"Mehrajuddin Wadoo"|1984-02-12|"29"|"India"|"Without Club"|"186"|"right"|NA|NA|NA|"75K"|NA
"2013"|"FC Pune City"|"Dharmaraj Ravanan"|1987-07-27|"25"|"India"|"Chennai City FC"|"179"|NA|NA|NA|NA|NA|NA
"2013"|"FC Pune City"|"Pritam Kotal"|1993-08-09|"19"|"India"|"Delhi Dynamos FC"|"179"|NA|NA|NA|NA|NA|NA
"2013"|"FC Pune City"|"Ashutosh Mehta"|1991-02-21|"22"|"India"|"FC Pune City"|"176"|NA|NA|NA|NA|NA|NA
"2013"|"FC Pune City"|"Tapan Maity"|1984-09-12|"28"|"India"|"Bharat FC"|"171"|NA|NA|NA|NA|NA|NA
"2013"|"FC Pune City"|"Konstantinos Katsouranis"|1979-06-21|"34"|"Greece"|"Retired"|"183"|"right"|NA|NA|NA|"1.75M"|"1.75M"
"2013"|"FC Pune City"|"Lenny Rodrigues"|1987-05-10|"26"|"India"|"FC Goa"|"185"|NA|NA|NA|NA|NA|NA
"2013"|"FC Pune City"|"Krisztián Vadócz"|1985-05-03|"28"|"Hungary"|"Without Club"|"185"|"both"|NA|NA|NA|"1.00M"|"1.25M"
"2013"|"FC Pune City"|"Manish Maithani"|1986-12-06|"26"|"India"|"Southern Samity"|"174"|NA|NA|NA|NA|NA|NA
"2013"|"FC Pune City"|"Kwang-il Park"|1991-02-10|"22"|"Korea, South"|"Jeonnam Dragons FC"|"173"|"right"|NA|NA|NA|NA|NA
"2013"|"FC Pune City"|"Omar Rodríguez"|1981-03-04|"32"|"Colombia"|"Tigres FC"|"180"|"left"|NA|NA|NA|"350K"|"300K"
"2013"|"FC Pune City"|"Davide Colomba"|1988-07-19|"24"|"Italy"|"Retired"|"175"|"left"|NA|NA|NA|"50K"|"50K"
"2013"|"FC Pune City"|"Israil Gurung"|1989-04-02|"24"|"India"|"Churchill Brothers SC"|"173"|NA|NA|NA|NA|NA|NA
"2013"|"FC Pune City"|"John Goossens"|1988-07-25|"24"|"Netherlands"|"ADO Den Haag"|"174"|"left"|NA|NA|NA|"1.25M"|"1.00M"
"2013"|"FC Pune City"|"Pratik Shinde"|1995-01-01|"18"|"India"|"Houston Hurricanes"|"169"|NA|NA|NA|NA|NA|NA
"2013"|"FC Pune City"|"Jermaine Pennant"|1983-01-15|"30"|"England"|"Without Club"|"173"|"right"|NA|NA|NA|"2.50M"|"3.50M"
"2013"|"FC Pune City"|"Iván Bolado"|1989-07-03|"23"|"Equatorial Guinea"|"Retired"|"180"|"right"|NA|NA|NA|"1.40M"|"1.50M"
"2013"|"FC Pune City"|"Adrian Mutu"|1979-01-08|"34"|"Romania"|"Retired"|"180"|"right"|NA|NA|NA|"1.00M"|"900K"
"2013"|"FC Pune City"|"David Trézéguet"|1977-10-15|"35"|"France"|"Retired"|"190"|"both"|NA|NA|NA|"500K"|"750K"
"2013"|"FC Pune City"|"Dudu"|1985-07-18|"27"|"Nigeria"|"Without Club"|"179"|"left"|NA|NA|NA|"275K"|"500K"
"2013"|"FC Pune City"|"Joaquim Abranches"|1985-10-28|"27"|"India"|"Unknown"|"177"|NA|NA|NA|NA|NA|NA
"2013"|"Kerala Blasters FC"|"David James"|1970-08-01|"42"|"England"|"Retired"|"193"|"right"|NA|NA|NA|"100K"|NA
"2013"|"Kerala Blasters FC"|"Sandip Nandy"|1975-01-15|"38"|"India"|"Without Club"|"178"|NA|NA|NA|NA|"50K"|NA
"2013"|"Kerala Blasters FC"|"Luis Barreto"|1980-10-14|"32"|"India"|"East Bengal FC"|"173"|NA|NA|NA|NA|NA|NA
"2013"|"Kerala Blasters FC"|"Ramandeep Singh"|1991-06-27|"22"|"India"|"Minerva Punjab FC"|"187"|NA|NA|NA|NA|NA|NA
"2013"|"Kerala Blasters FC"|"Colin Falvey"|1985-06-20|"28"|"Ireland"|"Ottawa Fury FC"|"185"|NA|NA|NA|NA|"150K"|"250K"
"2013"|"Kerala Blasters FC"|"Raphaël Romey"|1981-02-26|"32"|"France"|"Fréjus-Saint-Raphaël FC"|"186"|"left"|NA|NA|NA|"150K"|"150K"
"2013"|"Kerala Blasters FC"|"Sandesh Jhingan"|1993-07-21|"19"|"India"|"Kerala Blasters FC"|"188"|NA|NA|NA|NA|NA|NA
"2013"|"Kerala Blasters FC"|"Erwin Spitzner"|1994-04-29|"19"|"Brazil"|"Without Club"|"185"|"right"|NA|NA|NA|NA|NA
"2013"|"Kerala Blasters FC"|"Gurwinder Singh"|1986-04-16|"27"|"India"|"NorthEast United FC"|"183"|NA|NA|NA|NA|NA|NA
"2013"|"Kerala Blasters FC"|"Jamie McAllister"|1978-04-26|"35"|"Scotland"|"Retired"|"178"|"left"|NA|NA|NA|"250K"|"250K"
"2013"|"Kerala Blasters FC"|"Saumik Dey"|1984-08-20|"28"|"India"|"Unknown"|"178"|NA|NA|NA|NA|NA|NA
"2013"|"Kerala Blasters FC"|"Cédric Hengbart"|1980-07-13|"32"|"France"|"Retired"|"183"|"right"|NA|NA|NA|"500K"|"500K"
"2013"|"Kerala Blasters FC"|"Nirmal Chettri"|1990-10-21|"22"|"India"|"FC Goa"|"177"|"both"|NA|NA|NA|"75K"|NA
"2013"|"Kerala Blasters FC"|"Avinabo Bag"|1989-09-08|"23"|"India"|"Without Club"|"163"|NA|NA|NA|NA|NA|NA
"2013"|"Kerala Blasters FC"|"Duleep Menon"|1987-09-21|"25"|"India"|"Unknown"|"179"|NA|NA|NA|NA|NA|NA
"2013"|"Kerala Blasters FC"|"Mehtab Hossain"|1985-09-05|"27"|"India"|"Retired"|"171"|"both"|NA|NA|NA|NA|NA
"2013"|"Kerala Blasters FC"|"Sushanth Mathew"|1978-05-18|"35"|"India"|"Gokulam Kerala FC"|"174"|NA|NA|NA|NA|NA|NA
"2013"|"Kerala Blasters FC"|"Stephen Pearson"|1982-10-02|"30"|"Scotland"|"Retired"|"182"|"left"|NA|NA|NA|"750K"|"750K"
"2013"|"Kerala Blasters FC"|"Penn Orji"|1991-04-04|"22"|"Nigeria"|"Without Club"|"173"|NA|NA|NA|NA|NA|NA
"2013"|"Kerala Blasters FC"|"Godwin Franco"|1985-02-16|"28"|"India"|"Without Club"|NA|NA|NA|NA|NA|NA|NA
"2013"|"Kerala Blasters FC"|"Renedy Singh"|1979-06-20|"34"|"India"|"Retired"|"178"|"both"|NA|NA|NA|"100K"|NA
"2013"|"Kerala Blasters FC"|"Ishfaq Ahmed"|1983-03-17|"30"|"India"|"Without Club"|"175"|NA|NA|NA|NA|NA|NA
"2013"|"Kerala Blasters FC"|"Pulga"|1985-11-06|"27"|"Spain"|"Without Club"|"180"|"right"|NA|NA|NA|"150K"|"50K"
"2013"|"Kerala Blasters FC"|"Michael Chopra"|1983-12-23|"29"|"England"|"Retired"|"175"|"right"|NA|NA|NA|"1.50M"|"2.00M"
"2013"|"Kerala Blasters FC"|"Iain Hume"|1983-10-30|"29"|"Canada"|"FC Pune City"|"170"|"right"|NA|NA|NA|"750K"|"1.25M"
"2013"|"Kerala Blasters FC"|"Andrew Barisic"|1986-03-22|"27"|"Australia"|"Gold Coast Knights"|"188"|"both"|NA|NA|NA|"150K"|"100K"
"2013"|"Kerala Blasters FC"|"Pedro Gusmão"|1992-06-04|"21"|"Brazil"|"Unknown"|"177"|"right"|NA|NA|NA|"150K"|NA
"2013"|"Kerala Blasters FC"|"C.S. Sabeeth"|1990-12-02|"22"|"India"|"Minerva Punjab FC"|"177"|NA|NA|NA|NA|"50K"|NA
"2013"|"Kerala Blasters FC"|"Milagres Gonsalves"|1987-01-24|"26"|"India"|"Salgaocar SC Goa"|"186"|NA|NA|NA|NA|NA|NA
"2013"|"Mumbai City FC"|"Subrata Pal"|1986-12-24|"26"|"India"|"Jamshedpur FC"|"185"|"both"|NA|NA|NA|"100K"|NA
"2013"|"Mumbai City FC"|"André Pereira"|1993-04-18|"20"|"Portugal"|"GD Pevidem"|"180"|"right"|NA|NA|NA|"100K"|"100K"
"2013"|"Mumbai City FC"|"Ishan Debnath"|1991-06-07|"22"|"India"|"Without Club"|"178"|NA|NA|NA|NA|NA|NA
"2013"|"Mumbai City FC"|"Peter Costa"|1984-08-05|"28"|"India"|"Unknown"|NA|NA|NA|NA|NA|NA|NA
"2013"|"Mumbai City FC"|"Manuel Friedrich"|1979-09-13|"33"|"Germany"|"Retired"|NA|NA|NA|NA|NA|"1.00M"|"1.50M"
"2013"|"Mumbai City FC"|"Pavel Cmovs"|1990-06-29|"23"|"Czech Republic"|"FK Teplice"|"188"|"right"|NA|NA|NA|"600K"|"600K"
"2013"|"Mumbai City FC"|"Deepak Mondal"|1979-10-13|"33"|"India"|"Tollygunge Agragami"|"173"|NA|NA|NA|NA|"50K"|NA
"2013"|"Mumbai City FC"|"Raju Gaikwad"|1990-09-25|"22"|"India"|"Jamshedpur FC"|"180"|NA|NA|NA|NA|"50K"|NA
"2013"|"Mumbai City FC"|"Ilias Pollalis"|1992-11-19|"20"|"Greece"|"AO Chalkis"|"189"|"left"|NA|NA|NA|"50K"|NA
"2013"|"Mumbai City FC"|"Syed Nabi"|1985-12-12|"27"|"India"|"Bharat FC"|"169"|"left"|NA|NA|NA|"75K"|NA
