stateid,state,state_abbr,state_post,level,control,schools_count,counted_pct,awards_per_state_value,awards_per_natl_value,exp_award_state_value,exp_award_natl_value,state_appr_value,state_appr_rank,grad_rate_rank,awards_per_rank
12,Florida,FL,Fla.,4-year,Private not-for-profit,47,56.6,24.2,22.5,71929,101725,170.9,38,36,8
12,Florida,FL,Fla.,4-year,Private for-profit,48,65.8,18.1,24.6,46698,38763,170.9,38,1,38
12,Florida,FL,Fla.,2-year,Public,5,47.7,21.5,16.5,23547,37780,170.9,38,4,8
12,Florida,FL,Fla.,2-year,Private not-for-profit,1,53.5,22.1,25.9,89645,34510,170.9,38,19,15
12,Florida,FL,Fla.,2-year,Private for-profit,39,79.6,34.7,32.8,25317,24795,170.9,38,16,25
13,Georgia,GA,Ga.,4-year,Public,23,61.7,18.4,21.5,57843,66436,275.92,13,30,46
13,Georgia,GA,Ga.,4-year,Private not-for-profit,30,74,21.7,22.5,108974,101725,275.92,13,31,32
13,Georgia,GA,Ga.,4-year,Private for-profit,15,41,18,24.6,59081,38763,275.92,13,31,40
13,Georgia,GA,Ga.,2-year,Public,28,36.1,17.2,16.5,21560,37780,275.92,13,26,28
13,Georgia,GA,Ga.,2-year,Private not-for-profit,2,94.8,34,25.9,50109,34510,275.92,13,15,8
13,Georgia,GA,Ga.,2-year,Private for-profit,8,90.1,32.6,32.8,43579,24795,275.92,13,30,31
15,Hawaii,HI,Hawaii,4-year,Public,4,39.1,22.7,21.5,96333,66436,365.74,6,33,8
15,Hawaii,HI,Hawaii,4-year,Private not-for-profit,5,38.2,21.6,22.5,63809,101725,365.74,6,50,33
15,Hawaii,HI,Hawaii,4-year,Private for-profit,2,39.7,12.4,24.6,60623,38763,365.74,6,30,45
15,Hawaii,HI,Hawaii,2-year,Public,6,27.7,18.7,16.5,57930,37780,365.74,6,36,19
15,Hawaii,HI,Hawaii,2-year,Private not-for-profit,0,NULL,NULL,25.9,NULL,34510,365.74,6,NULL,NULL
15,Hawaii,HI,Hawaii,2-year,Private for-profit,1,41.5,28.2,32.8,12346,24795,365.74,6,33,37
16,Idaho,ID,Idaho,4-year,Public,4,53.8,19,21.5,56076,66436,223.35,29,49,40
16,Idaho,ID,Idaho,4-year,Private not-for-profit,4,78.2,18,22.5,40571,101725,223.35,29,35,48
16,Idaho,ID,Idaho,4-year,Private for-profit,3,58.8,30.3,24.6,43878,38763,223.35,29,39,5
16,Idaho,ID,Idaho,2-year,Public,4,38.4,16.3,16.5,38731,37780,223.35,29,29,36
16,Idaho,ID,Idaho,2-year,Private not-for-profit,0,NULL,NULL,25.9,NULL,34510,223.35,29,NULL,NULL
16,Idaho,ID,Idaho,2-year,Private for-profit,1,NULL,55.5,32.8,45703,24795,223.35,29,13,3
17,Illinois,IL,Ill.,4-year,Public,11,62.2,24.3,21.5,90406,66436,276.87,12,13,3
17,Illinois,IL,Ill.,4-year,Private not-for-profit,50,64.3,24.2,22.5,99440,101725,276.87,12,19,7
17,Illinois,IL,Ill.,4-year,Private for-profit,19,62.8,28.6,24.6,40421,38763,276.87,12,15,11
17,Illinois,IL,Ill.,2-year,Public,48,33.7,14.6,16.5,33727,37780,276.87,12,19,46
17,Illinois,IL,Ill.,2-year,Private not-for-profit,2,47.8,26.8,25.9,74074,34510,276.87,12,3,12
17,Illinois,IL,Ill.,2-year,Private for-profit,11,46.1,34.4,32.8,27386,24795,276.87,12,28,27
18,Indiana,IN,Ind.,4-year,Public,15,79.7,20.4,21.5,73383,66436,236.69,24,26,28
18,Indiana,IN,Ind.,4-year,Private not-for-profit,32,73.4,23.8,22.5,85638,101725,236.69,24,12,12
18,Indiana,IN,Ind.,4-year,Private for-profit,13,60.4,26.7,24.6,48576,38763,236.69,24,11,18
18,Indiana,IN,Ind.,2-year,Public,1,36.3,17.1,16.5,27812,37780,236.69,24,51,29
18,Indiana,IN,Ind.,2-year,Private not-for-profit,1,66.3,28,25.9,75406,34510,236.69,24,23,11
18,Indiana,IN,Ind.,2-year,Private for-profit,5,77.9,40.4,32.8,30280,24795,236.69,24,29,10
19,Iowa,IA,Iowa,4-year,Public,3,71.3,21.2,21.5,81657,66436,254.79,19,4,22
19,Iowa,IA,Iowa,4-year,Private not-for-profit,31,62.5,25,22.5,65365,101725,254.79,19,23,4
19,Iowa,IA,Iowa,4-year,Private for-profit,9,14.9,17.3,24.6,35488,38763,254.79,19,24,41
19,Iowa,IA,Iowa,2-year,Public,16,38.1,21.1,16.5,36861,37780,254.79,19,13,9
19,Iowa,IA,Iowa,2-year,Private not-for-profit,0,NULL,NULL,25.9,NULL,34510,254.79,19,NULL,NULL
19,Iowa,IA,Iowa,2-year,Private for-profit,2,100,38.3,32.8,24922,24795,254.79,19,36,14
20,Kansas,KS,Kan.,4-year,Public,8,58.6,22.3,21.5,65113,66436,262.35,17,28,10
20,Kansas,KS,Kan.,4-year,Private not-for-profit,20,48.3,23.9,22.5,53183,101725,262.35,17,45,11
20,Kansas,KS,Kan.,4-year,Private for-profit,5,50.7,28.4,24.6,50854,38763,262.35,17,46,12
20,Kansas,KS,Kan.,2-year,Public,25,38,19.3,16.5,31714,37780,262.35,17,3,16
20,Kansas,KS,Kan.,2-year,Private not-for-profit,1,65,34.4,25.9,60620,34510,262.35,17,10,6
20,Kansas,KS,Kan.,2-year,Private for-profit,3,98.2,41.8,32.8,15535,24795,262.35,17,25,7
21,Kentucky,KY,Ky.,4-year,Public,8,72.3,19.5,21.5,72975,66436,268.24,15,39,39
21,Kentucky,KY,Ky.,4-year,Private not-for-profit,21,75.4,20.4,22.5,64209,101725,268.24,15,41,39
21,Kentucky,KY,Ky.,4-year,Private for-profit,15,60.7,28,24.6,42765,38763,268.24,15,41,14
21,Kentucky,KY,Ky.,2-year,Public,16,47.5,18.5,16.5,16639,37780,268.24,15,16,21
21,Kentucky,KY,Ky.,2-year,Private not-for-profit,0,NULL,NULL,25.9,NULL,34510,268.24,15,NULL,NULL
21,Kentucky,KY,Ky.,2-year,Private for-profit,7,76.1,41.4,32.8,44716,24795,268.24,15,35,9
22,Louisiana,LA,La.,4-year,Public,14,72.6,18.4,21.5,54322,66436,254.17,20,47,45
22,Louisiana,LA,La.,4-year,Private not-for-profit,9,80.2,19,22.5,102187,101725,254.17,20,25,44
22,Louisiana,LA,La.,4-year,Private for-profit,4,63.5,26.7,24.6,38047,38763,254.17,20,44,17
22,Louisiana,LA,La.,2-year,Public,16,43.8,21.9,16.5,15389,37780,254.17,20,28,7
22,Louisiana,LA,La.,2-year,Private not-for-profit,2,NULL,16.7,25.9,18558,34510,254.17,20,9,20
22,Louisiana,LA,La.,2-year,Private for-profit,11,77.3,28.9,32.8,21543,24795,254.17,20,17,35
23,Maine,ME,Me.,4-year,Public,8,62.5,21.4,21.5,72837,66436,198.8,34,41,17
23,Maine,ME,Me.,4-year,Private not-for-profit,11,84.7,22,22.5,107831,101725,198.8,34,11,26
23,Maine,ME,Me.,4-year,Private for-profit,1,50.1,22.3,24.6,40946,38763,198.8,34,NULL,30
23,Maine,ME,Me.,2-year,Public,7,42,22.1,16.5,38062,37780,198.8,34,18,6
23,Maine,ME,Me.,2-year,Private not-for-profit,1,2,50.9,25.9,32216,34510,198.8,34,27,2
23,Maine,ME,Me.,2-year,Private for-profit,1,NULL,30.2,32.8,17325,24795,198.8,34,39,34
24,Maryland,MD,Md.,4-year,Public,12,45.3,23.8,21.5,55510,66436,271.97,14,15,6
24,Maryland,MD,Md.,4-year,Private not-for-profit,16,78.5,22.4,22.5,184772,101725,271.97,14,6,20
24,Maryland,MD,Md.,4-year,Private for-profit,4,74,23.4,24.6,41262,38763,271.97,14,35,25
24,Maryland,MD,Md.,2-year,Public,16,36.6,17.6,16.5,62054,37780,271.97,14,37,26
24,Maryland,MD,Md.,2-year,Private not-for-profit,0,NULL,NULL,25.9,NULL,34510,271.97,14,NULL,NULL
24,Maryland,MD,Md.,2-year,Private for-profit,4,NULL,38.6,32.8,19292,24795,271.97,14,22,13
25,Massachusetts,MA,Mass.,4-year,Public,13,64.9,20.9,21.5,66839,66436,156.75,41,21,26
25,Massachusetts,MA,Mass.,4-year,Private not-for-profit,63,82.7,22.3,22.5,145629,101725,156.75,41,2,22
25,Massachusetts,MA,Mass.,4-year,Private for-profit,5,79.1,27.1,24.6,55816,38763,156.75,41,13,16
25,Massachusetts,MA,Mass.,2-year,Public,16,39.4,16.9,16.5,49931,37780,156.75,41,34,32
25,Massachusetts,MA,Mass.,2-year,Private not-for-profit,2,6.4,59.9,25.9,37648,34510,156.75,41,6,1
25,Massachusetts,MA,Mass.,2-year,Private for-profit,1,NULL,56.7,32.8,53772,24795,156.75,41,34,2
26,Michigan,MI,Mich.,4-year,Public,16,69.7,21.3,21.5,76276,66436,161.32,40,12,18
26,Michigan,MI,Mich.,4-year,Private not-for-profit,39,51.1,24.2,22.5,54025,101725,161.32,40,30,9
26,Michigan,MI,Mich.,4-year,Private for-profit,9,60.9,28.3,24.6,52332,38763,161.32,40,37,13
26,Michigan,MI,Mich.,2-year,Public,30,27.4,18.2,16.5,40211,37780,161.32,40,44,22
26,Michigan,MI,Mich.,2-year,Private not-for-profit,0,NULL,NULL,25.9,NULL,34510,161.32,40,NULL,NULL
26,Michigan,MI,Mich.,2-year,Private for-profit,0,NULL,NULL,32.8,NULL,24795,161.32,40,NULL,NULL
27,Minnesota,MN,Minn.,4-year,Public,11,55.7,20.9,21.5,76061,66436,237.11,23,19,25
27,Minnesota,MN,Minn.,4-year,Private not-for-profit,25,72.5,23.7,22.5,71920,101725,237.11,23,7,13
27,Minnesota,MN,Minn.,4-year,Private for-profit,28,34.3,19.6,24.6,43085,38763,237.11,23,7,35
27,Minnesota,MN,Minn.,2-year,Public,31,30.1,22.7,16.5,32320,37780,237.11,23,11,5
27,Minnesota,MN,Minn.,2-year,Private not-for-profit,1,61.4,13,25.9,144220,34510,237.11,23,26,25
27,Minnesota,MN,Minn.,2-year,Private for-profit,5,78.8,38,32.8,26759,24795,237.11,23,14,15
28,Mississippi,MS,Miss.,4-year,Public,8,59.3,19,21.5,62228,66436,309.22,8,37,41
28,Mississippi,MS,Miss.,4-year,Private not-for-profit,7,53.3,21.1,22.5,49905,101725,309.22,8,46,35
28,Mississippi,MS,Miss.,4-year,Private for-profit,0,NULL,NULL,24.6,NULL,38763,309.22,8,NULL,NULL
28,Mississippi,MS,Miss.,2-year,Public,15,63,20,16.5,40189,37780,309.22,8,14,15
28,Mississippi,MS,Miss.,2-year,Private not-for-profit,0,NULL,NULL,25.9,NULL,34510,309.22,8,NULL,NULL
28,Mississippi,MS,Miss.,2-year,Private for-profit,6,64.9,38,32.8,21061,24795,309.22,8,41,16
29,Missouri,MO,Mo.,4-year,Public,13,62.1,21,21.5,56359,66436,154.07,43,27,24
29,Missouri,MO,Mo.,4-year,Private not-for-profit,34,50.6,24.5,22.5,86885,101725,154.07,43,26,5
29,Missouri,MO,Mo.,4-year,Private for-profit,20,57.5,32,24.6,27738,38763,154.07,43,33,4
29,Missouri,MO,Mo.,2-year,Public,14,51.5,16.5,16.5,33283,37780,154.07,43,27,34
29,Missouri,MO,Mo.,2-year,Private not-for-profit,3,11.4,29.3,25.9,45744,34510,154.07,43,14,10
29,Missouri,MO,Mo.,2-year,Private for-profit,19,82.3,36.2,32.8,14611,24795,154.07,43,18,22
30,Montana,MT,Mont.,4-year,Public,6,63.9,18.4,21.5,61439,66436,199.17,33,45,44
30,Montana,MT,Mont.,4-year,Private not-for-profit,4,67.9,20.9,22.5,83929,101725,199.17,33,40,36
30,Montana,MT,Mont.,4-year,Private for-profit,0,NULL,NULL,24.6,NULL,38763,199.17,33,NULL,NULL
30,Montana,MT,Mont.,2-year,Public,11,49,20.9,16.5,51197,37780,199.17,33,12,10
30,Montana,MT,Mont.,2-year,Private not-for-profit,1,77.2,16.1,25.9,99056,34510,199.17,33,22,21
30,Montana,MT,Mont.,2-year,Private for-profit,0,NULL,NULL,32.8,NULL,24795,199.17,33,NULL,NULL
31,Nebraska,NE,Neb.,4-year,Public,6,71.6,19.6,21.5,59408,66436,352.99,7,24,35
31,Nebraska,NE,Neb.,4-year,Private not-for-profit,15,73.7,27.2,22.5,61953,101725,352.99,7,24,1
31,Nebraska,NE,Neb.,4-year,Private for-profit,4,81.2,24.9,24.6,35830,38763,352.99,7,21,22
31,Nebraska,NE,Neb.,2-year,Public,8,28.8,16.9,16.5,40345,37780,352.99,7,9,30
31,Nebraska,NE,Neb.,2-year,Private not-for-profit,1,49.1,13.8,25.9,155075,34510,352.99,7,25,23
31,Nebraska,NE,Neb.,2-year,Private for-profit,2,NULL,31.1,32.8,21983,24795,352.99,7,37,33
32,Nevada,NV,Nev.,4-year,Public,6,30.7,16.5,21.5,72219,66436,169.3,39,44,50
32,Nevada,NV,Nev.,4-year,Private not-for-profit,1,60.7,18.4,22.5,60051,101725,169.3,39,33,47
32,Nevada,NV,Nev.,4-year,Private for-profit,6,50.1,19.7,24.6,54810,38763,169.3,39,16,34
32,Nevada,NV,Nev.,2-year,Public,1,22.5,16.3,16.5,34928,37780,169.3,39,21,35
32,Nevada,NV,Nev.,2-year,Private not-for-profit,0,NULL,NULL,25.9,NULL,34510,169.3,39,NULL,NULL
32,Nevada,NV,Nev.,2-year,Private for-profit,6,NULL,27.7,32.8,23966,24795,169.3,39,26,38
33,New Hampshire,NH,N.H.,4-year,Public,5,55.1,22,21.5,58783,66436,64.7,49,3,13
33,New Hampshire,NH,N.H.,4-year,Private not-for-profit,8,87.1,20.7,22.5,123661,101725,64.7,49,14,38
33,New Hampshire,NH,N.H.,4-year,Private for-profit,2,59.9,32.9,24.6,39835,38763,64.7,49,4,2
33,New Hampshire,NH,N.H.,2-year,Public,7,26,19.3,16.5,47063,37780,64.7,49,22,17
33,New Hampshire,NH,N.H.,2-year,Private not-for-profit,2,31.7,39,25.9,42708,34510,64.7,49,17,3
33,New Hampshire,NH,N.H.,2-year,Private for-profit,0,NULL,NULL,32.8,NULL,24795,64.7,49,NULL,NULL
34,New Jersey,NJ,N.J.,4-year,Public,12,58,21.5,21.5,76212,66436,212.2,30,6,16
34,New Jersey,NJ,N.J.,4-year,Private not-for-profit,18,71.4,22.2,22.5,113408,101725,212.2,30,20,23
34,New Jersey,NJ,N.J.,4-year,Private for-profit,3,70.4,18.1,24.6,65507,38763,212.2,30,17,39
34,New Jersey,NJ,N.J.,2-year,Public,19,54.2,15.8,16.5,49808,37780,212.2,30,32,40
34,New Jersey,NJ,N.J.,2-year,Private not-for-profit,0,NULL,NULL,25.9,NULL,34510,212.2,30,NULL,NULL
34,New Jersey,NJ,N.J.,2-year,Private for-profit,3,65.3,44.6,32.8,23301,24795,212.2,30,9,5
35,New Mexico,NM,N.M.,4-year,Public,9,63.2,18.3,21.5,67306,66436,383.36,5,48,47
35,New Mexico,NM,N.M.,4-year,Private not-for-profit,2,74.2,17.7,22.5,113351,101725,383.36,5,48,50
35,New Mexico,NM,N.M.,4-year,Private for-profit,8,52.3,23,24.6,41774,38763,383.36,5,18,27
35,New Mexico,NM,N.M.,2-year,Public,19,39.3,20.5,16.5,24502,37780,383.36,5,43,13
35,New Mexico,NM,N.M.,2-year,Private not-for-profit,0,NULL,NULL,25.9,NULL,34510,383.36,5,NULL,NULL
35,New Mexico,NM,N.M.,2-year,Private for-profit,2,NULL,36.7,32.8,25926,24795,383.36,5,5,20
36,New York,NY,N.Y.,4-year,Public,39,57.5,22.6,21.5,71334,66436,253.91,21,18,9
36,New York,NY,N.Y.,4-year,Private not-for-profit,116,74.3,22.8,22.5,108407,101725,253.91,21,13,16
36,New York,NY,N.Y.,4-year,Private for-profit,17,64.4,22.6,24.6,54039,38763,253.91,21,3,28
36,New York,NY,N.Y.,2-year,Public,35,59.3,18,16.5,59231,37780,253.91,21,24,23
36,New York,NY,N.Y.,2-year,Private not-for-profit,12,52.1,34.9,25.9,37611,34510,253.91,21,18,5
36,New York,NY,N.Y.,2-year,Private for-profit,22,76.1,24.9,32.8,44481,24795,253.91,21,40,39
37,North Carolina,NC,N.C.,4-year,Public,16,64.7,21.1,21.5,74454,66436,415.54,4,14,23
37,North Carolina,NC,N.C.,4-year,Private not-for-profit,43,78.1,21.4,22.5,148420,101725,415.54,4,29,34
37,North Carolina,NC,N.C.,4-year,Private for-profit,12,45.9,19.5,24.6,58286,38763,415.54,4,27,36
37,North Carolina,NC,N.C.,2-year,Public,59,25.4,14.8,16.5,37924,37780,415.54,4,30,45
37,North Carolina,NC,N.C.,2-year,Private not-for-profit,1,91,13.4,25.9,89587,34510,415.54,4,21,24
37,North Carolina,NC,N.C.,2-year,Private for-profit,4,79.4,35.9,32.8,28422,24795,415.54,4,6,23
38,North Dakota,ND,N.D.,4-year,Public,9,56.8,19.9,21.5,72233,66436,475.27,3,36,31
38,North Dakota,ND,N.D.,4-year,Private not-for-profit,5,70.9,20.3,22.5,61404,101725,475.27,3,43,40
38,North Dakota,ND,N.D.,4-year,Private for-profit,1,23.6,30.2,24.6,28938,38763,475.27,3,40,6
38,North Dakota,ND,N.D.,2-year,Public,5,28.5,25.9,16.5,49596,37780,475.27,3,2,2
38,North Dakota,ND,N.D.,2-year,Private not-for-profit,0,NULL,NULL,25.9,NULL,34510,475.27,3,NULL,NULL
38,North Dakota,ND,N.D.,2-year,Private for-profit,0,NULL,NULL,32.8,NULL,24795,475.27,3,NULL,NULL
39,Ohio,OH,Ohio,4-year,Public,34,77.2,19.5,21.5,74213,66436,176.3,37,29,38
39,Ohio,OH,Ohio,4-year,Private not-for-profit,57,75.8,22.6,22.5,79796,101725,176.3,37,21,18
39,Ohio,OH,Ohio,4-year,Private for-profit,24,72.9,27.6,24.6,43576,38763,176.3,37,25,15
39,Ohio,OH,Ohio,2-year,Public,25,36.1,15.3,16.5,42672,37780,176.3,37,47,42
39,Ohio,OH,Ohio,2-year,Private not-for-profit,3,38,21.3,25.9,29254,34510,176.3,37,11,17
39,Ohio,OH,Ohio,2-year,Private for-profit,42,52.9,34.1,32.8,35515,24795,176.3,37,27,28
40,Oklahoma,OK,Okla.,4-year,Public,15,57.5,19.8,21.5,55203,66436,254.79,19,43,32
40,Oklahoma,OK,Okla.,4-year,Private not-for-profit,12,68.6,21.9,22.5,76127,101725,254.79,19,39,28
40,Oklahoma,OK,Okla.,4-year,Private for-profit,8,72.1,25.4,24.6,39682,38763,254.79,19,36,20
40,Oklahoma,OK,Okla.,2-year,Public,12,35.4,17.9,16.5,37044,37780,254.79,19,31,24
40,Oklahoma,OK,Okla.,2-year,Private not-for-profit,0,NULL,NULL,25.9,NULL,34510,254.79,19,NULL,NULL
40,Oklahoma,OK,Okla.,2-year,Private for-profit,9,NULL,41.5,32.8,16061,24795,254.79,19,21,8
41,Oregon,OR,Ore.,4-year,Public,7,49.3,21.3,21.5,58356,66436,148.14,44,25,19
41,Oregon,OR,Ore.,4-year,Private not-for-profit,17,71.6,22.7,22.5,78874,101725,148.14,44,15,17
41,Oregon,OR,Ore.,4-year,Private for-profit,4,50.4,29.2,24.6,40150,38763,148.14,44,20,8
41,Oregon,OR,Ore.,2-year,Public,17,31.5,16.9,16.5,48188,37780,148.14,44,33,31
41,Oregon,OR,Ore.,2-year,Private not-for-profit,0,NULL,NULL,25.9,NULL,34510,148.14,44,NULL,NULL
41,Oregon,OR,Ore.,2-year,Private for-profit,5,42.4,39.6,32.8,21525,24795,148.14,44,4,11
42,Pennsylvania,PA,Pa.,4-year,Public,41,72.6,21.3,21.5,81610,66436,140.34,46,11,20
42,Pennsylvania,PA,Pa.,4-year,Private not-for-profit,82,80.7,22.2,22.5,110403,101725,140.34,46,8,24
42,Pennsylvania,PA,Pa.,4-year,Private for-profit,9,33,16.3,24.6,81979,38763,140.34,46,10,43
42,Pennsylvania,PA,Pa.,2-year,Public,16,37.6,15.6,16.5,54524,37780,140.34,46,39,41
42,Pennsylvania,PA,Pa.,2-year,Private not-for-profit,13,64.7,23.1,25.9,40121,34510,140.34,46,13,14
42,Pennsylvania,PA,Pa.,2-year,Private for-profit,56,79.1,36.4,32.8,26415,24795,140.34,46,20,21
44,Rhode Island,RI,R.I.,4-year,Public,2,72.2,20.1,21.5,67352,66436,156.11,42,22,30
44,Rhode Island,RI,R.I.,4-year,Private not-for-profit,8,87.9,25.6,22.5,115732,101725,156.11,42,5,2
44,Rhode Island,RI,R.I.,4-year,Private for-profit,0,NULL,NULL,24.6,NULL,38763,156.11,42,NULL,NULL
44,Rhode Island,RI,R.I.,2-year,Public,1,26,16,16.5,47741,37780,156.11,42,45,38
44,Rhode Island,RI,R.I.,2-year,Private not-for-profit,0,NULL,NULL,25.9,NULL,34510,156.11,42,NULL,NULL
44,Rhode Island,RI,R.I.,2-year,Private for-profit,0,NULL,NULL,32.8,NULL,24795,156.11,42,NULL,NULL
45,South Carolina,SC,S.C.,4-year,Public,12,73.9,19.7,21.5,69786,66436,197.45,35,16,33
